citySlugFile,citySlug,name,phone,category,is24Hours,id,website,postalCode
allston.json,allston,Donners Mechanical Inc.,+1 617-787-1919,Plumber,true,ChIJwQbVgdp544kRQXp1WbPaad4,http://www.donnersmechanical.com/,2134
apache-junction.json,apache-junction,1UP PLUMBING,+1 602-558-1363,Plumber,false,ChIJK4V4oQuesywRDTOYLyLrYl0,https://www.1upplumbingaz.com/,85120
apache-junction.json,apache-junction,Rescue Plumbing Services,+1 480-286-5372,Plumber,false,ChIJc0Ul7ek1tE4R69YhPWdWRQc,https://www.rescueplumbingservicesaz.com/,85119
arlington.json,arlington,Mouradian Plumbing & Heating,+1 781-790-3890,Plumber,false,ChIJE84fsUd244kRiIvk_SW-w-0,https://www.mouradianplumbingheating.com/,2476
arlington.json,arlington,ABC Plumbing Drain Sewer Cleaning,+1 781-641-3823,Plumber,true,ChIJVVVVVVx244kRlbMjrov0ymU,http://www.abcplumbinganddraincleaning.com/,2474
arlington.json,arlington,"Ernie's Plumbing Service, Inc.",+1 888-802-0005,Plumber,false,ChIJ_____28mTIYRzOp4tys-Ok4,https://www.erniesplumbing.com/,76013
arlington.json,arlington,"Baker Brothers Plumbing, Air & Electric",+1 817-595-0116,Plumber,true,ChIJQ3S5VhJjToYRgSCbgHnXFwU,https://bakerbrothersplumbing.com/arlington-tx/%3Futm_campaign%3Dgmb_bk-arl_home_all_arlington%26utm_medium%3Dgmb%26utm_source%3Dgoogle,76001
belmont.json,belmont,"Freiner Company, Inc.",+1 617-484-4404,Plumber,false,ChIJSYAo77p344kRBoUD342xGN0,http://www.freiner.com/,2478
bonita.json,bonita,Right Plumbing & Drain,+1 619-348-6249,Plumber,true,ChIJoWCBwvpP2YAR8JlM4e0YNQk,,91902
bonita.json,bonita,Hec's Plumbing & Construction,+1 619-946-7378,Plumber,false,ChIJsYZ29PFP2YARL2LHsigjC9o,,91902
boston.json,boston,Roto-Rooter Plumbing & Water Cleanup,+1 617-279-0554,Plumber,true,ChIJZyUJCoNw44kRp0t6PpOhKtA,https://www.rotorooter.com/boston/%3Futm_source%3DGoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb%26utm_content%3Dwebsite,2110
boston.json,boston,Horvitz Plumbing & Heating,+1 617-789-0151,Plumber,true,ChIJY-gbpIt744kR11Wz1qIh2-8,http://horvitzplumbingandheatingcoma.hibuwebsites.com/,2122
boston.json,boston,Primetime Boston Plumbers,+1 617-936-8955,Plumber,false,ChIJAfqaIf6B1mYRHZkvHvy0ZCI,,2108
boston.json,boston,Excel Plumbing and heating,+1 617-913-3524,Plumber,false,ChIJNZQNQAV744kR72ep4oA3pR0,http://www.excelphboston.com/,2124
boston.json,boston,Reservoir Home,+1 617-249-3048,Plumber,false,ChIJzUFBv4xx44kROdi7WNG1Cdw,https://reservoirhome.com/,2129
boston.json,boston,"I&C MECHANICAL , INC. - Plumbing, Heating and Air Conditioning",+1 617-908-5780,Plumber,true,ChIJETWo0dt544kRm1v16fHaQJY,https://www.icmechanicalservices.com/,2134
boston.json,boston,Colantuno & Son Plumbing,+1 617-272-5631,Plumber,false,ChIJxWEDhz1_44kRCKkewML23Ng,,2132
boston.json,boston,Croft Plumbing Services,+1 617-446-7664,Plumber,true,ChIJnT4tqjt644kRqLHYxX7gw-A,https://croftplumbingservices.com/,2119
boston.json,boston,Narrow Way Plumbing & Heating,+1 617-436-5229,Plumber,false,ChIJiRFzR_F744kREBVdRjb9sUY,http://narrowway.com/,2124
